t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
0.00050,0.0698,0.00000,0.000000,0.000000,0.000000
0.00100,0.0636,0.00007,0.000000,0.000000,0.000000
0.00150,0.0545,0.00015,0.000000,0.000000,0.000000
0.00200,0.0425,0.00022,0.000000,0.000000,0.000000
0.00250,0.0279,0.00030,0.000000,0.000000,0.000000
0.00300,0.0105,0.00038,0.000000,0.000000,0.000000
0.00350,-0.0093,0.00045,0.000000,0.000000,0.000000
0.00400,-0.0078,0.00052,0.000000,0.010335,0.000000
0.00450,-0.0059,0.00060,0.000000,0.008655,0.000000
0.00500,-0.0044,0.00068,0.000000,0.006529,0.000000
0.00550,-0.0033,0.00075,0.000000,0.004895,0.000000
0.00600,-0.0025,0.00083,0.000000,0.003669,0.000000
0.00650,-0.0019,0.00090,0.000000,0.002750,0.000000
0.00700,-0.0014,0.00098,0.000000,0.002061,0.000000
0.00750,-0.0010,0.00105,0.000000,0.001545,0.000000
0.00800,-0.0008,0.00113,0.000000,0.001158,0.000000
0.00850,-0.0006,0.00120,0.000000,0.000868,0.000000
0.00900,-0.0004,0.00128,0.000000,0.000651,0.000000
0.00950,-0.0003,0.00135,0.000000,0.000488,0.000000
0.01000,-0.0002,0.00143,0.000000,0.000366,0.000000
0.01050,-0.0002,0.00150,0.000000,0.000275,0.000000
0.01100,-0.0001,0.00158,0.000000,0.000206,0.000000
0.01150,-0.0001,0.00165,0.000000,0.000155,0.000000
0.01200,-0.0001,0.00173,0.000000,0.000117,0.000000
0.01250,-0.0001,0.00180,0.000000,0.000088,0.000000
0.01300,-0.0000,0.00188,0.000000,0.000066,0.000000
0.01350,-0.0000,0.00195,0.000000,0.000050,0.000000
0.01400,-0.0000,0.00203,0.000000,0.000038,0.000000
0.01450,-0.0000,0.00210,0.000000,0.000029,0.000000
0.01500,-0.0000,0.00218,0.000000,0.000022,0.000000
0.01550,-0.0000,0.00225,0.000000,0.000017,0.000000
0.01600,-0.0000,0.00233,0.000000,0.000013,0.000000
0.01650,-0.0000,0.00240,0.000000,0.000010,0.000000
0.01700,-0.0000,0.00248,0.000000,0.000008,0.000000
0.01750,-0.0000,0.00255,0.000000,0.000006,0.000000
0.01800,-0.0000,0.00263,0.000000,0.000005,0.000000
0.01850,-0.0000,0.00270,0.000000,0.000004,0.000000
0.01900,-0.0000,0.00278,0.000000,0.000003,0.000000
0.01950,-0.0000,0.00285,0.000000,0.000003,0.000000
0.02000,-0.0000,0.00293,0.000000,0.000002,0.000000
0.02050,-0.0000,0.00300,0.000000,0.000002,0.000000
0.02100,-0.0000,0.00308,0.000000,0.000002,0.000000
0.02150,-0.0000,0.00315,0.000000,0.000002,0.000000
0.02200,-0.0000,0.00323,0.000000,0.000002,0.000000
0.02250,-0.0000,0.00330,0.000000,0.000002,0.000000
0.02300,-0.0000,0.00338,0.000000,0.000002,0.000000
0.02350,-0.0000,0.00345,0.000000,0.000001,0.000000
0.02400,-0.0000,0.00353,0.000000,0.000001,0.000000
0.02450,-0.0000,0.00360,0.000000,0.000001,0.000000
0.02500,-0.0000,0.00368,0.000000,0.000001,0.000000
0.02550,-0.0000,0.00375,0.000000,0.000001,0.000000
0.02600,-0.0000,0.00383,0.000000,0.000001,0.000000
0.02650,-0.0000,0.00390,0.000000,0.000001,0.000000
0.02700,-0.0000,0.00398,0.000000,0.000001,0.000000
0.02750,-0.0000,0.00405,0.000000,0.000001,0.000000
0.02800,-0.0000,0.00413,0.000000,0.000001,0.000000
0.02850,-0.0000,0.00420,0.000000,0.000001,0.000000
0.02900,-0.0000,0.00428,0.000000,0.000001,0.000000
0.02950,-0.0000,0.00435,0.000000,0.000001,0.000000
0.03000,-0.0000,0.00443,0.000000,0.000001,0.000000
0.03050,-0.0000,0.00450,0.000000,0.000001,0.000000
0.03100,-0.0000,0.00458,0.000000,0.000001,0.000000
0.03150,-0.0000,0.00465,0.000000,0.000001,0.000000
0.03200,-0.0000,0.00473,0.000000,0.000001,0.000000
0.03250,-0.0000,0.00480,0.000000,0.000001,0.000000
0.03300,-0.0000,0.00488,0.000000,0.000001,0.000000
0.03350,-0.0000,0.00495,0.000000,0.000001,0.000000
0.03400,-0.0000,0.00503,0.000000,0.000001,0.000000
0.03450,-0.0000,0.00510,0.000000,0.000001,0.000000
0.03500,-0.0000,0.00518,0.000000,0.000001,0.000000
0.03550,-0.0000,0.00525,0.000000,0.000001,0.000000
0.03600,-0.0000,0.00533,0.000000,0.000001,0.000000
0.03650,-0.0000,0.00540,0.000000,0.000001,0.000000
0.03700,-0.0000,0.00548,0.000000,0.000001,0.000000
0.03750,-0.0000,0.00555,0.000000,0.000001,0.000000
0.03800,-0.0000,0.00563,0.000000,0.000001,0.000000
0.03850,-0.0000,0.00570,0.000000,0.000001,0.000000
0.03900,-0.0000,0.00578,0.000000,0.000001,0.000000
0.03950,-0.0000,0.00585,0.000000,0.000001,0.000000
0.04000,-0.0000,0.00593,0.000000,0.000001,0.000000
0.04050,-0.0000,0.00600,0.000000,0.000001,0.000000
0.04100,-0.0000,0.00608,0.000000,0.000001,0.000000
0.04150,-0.0000,0.00615,0.000000,0.000001,0.000000
0.04200,-0.0000,0.00623,0.000000,0.000001,0.000000
0.04250,-0.0000,0.00630,0.000000,0.000001,0.000000
0.04300,-0.0000,0.00638,0.000000,0.000001,0.000000
0.04350,-0.0000,0.00645,0.000000,0.000001,0.000000
0.04400,-0.0000,0.00653,0.000000,0.000001,0.000000
0.04450,-0.0000,0.00660,0.000000,0.000001,0.000000
0.04500,-0.0000,0.00668,0.000000,0.000001,0.000000
0.04550,-0.0000,0.00675,0.000000,0.000001,0.000000
0.04600,-0.0000,0.00683,0.000000,0.000001,0.000000
0.04650,-0.0000,0.00690,0.000000,0.000001,0.000000
0.04700,-0.0000,0.00698,0.000000,0.000001,0.000000
0.04750,-0.0000,0.00705,0.000000,0.000001,0.000000
0.04800,-0.0000,0.00713,0.000000,0.000001,0.000000
0.04850,-0.0000,0.00720,0.000000,0.000001,0.000000
0.04900,-0.0000,0.00728,0.000000,0.000001,0.000000
0.04950,-0.0000,0.00735,0.000000,0.000001,0.000000
0.05000,-0.0000,0.00743,0.000000,0.000001,0.000000
0.05050,-0.0000,0.00750,0.000000,0.000001,0.000000
0.05100,-0.0000,0.00758,0.000000,0.000001,0.000000
0.05150,-0.0000,0.00765,0.000000,0.000001,0.000000
0.05200,-0.0000,0.00773,0.000000,0.000001,0.000000
0.05250,-0.0000,0.00780,0.000000,0.000001,0.000000
0.05300,-0.0000,0.00788,0.000000,0.000001,0.000000
0.05350,-0.0000,0.00795,0.000000,0.000001,0.000000
0.05400,-0.0000,0.00803,0.000000,0.000001,0.000000
0.05450,-0.0000,0.00810,0.000000,0.000001,0.000000
0.05500,-0.0000,0.00818,0.000000,0.000001,0.000000
0.05550,-0.0000,0.00825,0.000000,0.000001,0.000000
0.05600,-0.0000,0.00833,0.000000,0.000001,0.000000
0.05650,-0.0000,0.00840,0.000000,0.000001,0.000000
0.05700,-0.0000,0.00848,0.000000,0.000001,0.000000
0.05750,-0.0000,0.00855,0.000000,0.000001,0.000000
0.05800,-0.0000,0.00863,0.000000,0.000001,0.000000
0.05850,-0.0000,0.00870,0.000000,0.000001,0.000000
0.05900,-0.0000,0.00878,0.000000,0.000001,0.000000
0.05950,-0.0000,0.00885,0.000000,0.000001,0.000000
0.06000,-0.0000,0.00893,0.000000,0.000001,0.000000
0.06050,-0.0000,0.00900,0.000000,0.000001,0.000000
0.06100,-0.0000,0.00908,0.000000,0.000001,0.000000
0.06150,-0.0000,0.00915,0.000000,0.000001,0.000000
0.06200,-0.0000,0.00923,0.000000,0.000001,0.000000
0.06250,-0.0000,0.00930,0.000000,0.000001,0.000000
0.06300,-0.0000,0.00938,0.000000,0.000001,0.000000
0.06350,-0.0000,0.00945,0.000000,0.000001,0.000000
0.06400,-0.0000,0.00953,0.000000,0.000001,0.000000
0.06450,-0.0000,0.00960,0.000000,0.000001,0.000000
0.06500,-0.0000,0.00968,0.000000,0.000001,0.000000
0.06550,-0.0000,0.00975,0.000000,0.000001,0.000000
0.06600,-0.0000,0.00983,0.000000,0.000001,0.000000
0.06650,-0.0000,0.00990,0.000000,0.000001,0.000000
0.06700,-0.0000,0.00998,0.000000,0.000001,0.000000
0.06750,-0.0000,0.01005,0.000000,0.000001,0.000000
0.06800,-0.0000,0.01013,0.000000,0.000001,0.000000
0.06850,-0.0000,0.01020,0.000000,0.000001,0.000000
0.06900,-0.0000,0.01028,0.000000,0.000001,0.000000
0.06950,-0.0000,0.01035,0.000000,0.000001,0.000000
0.07000,-0.0000,0.01043,0.000000,0.000001,0.000000
0.07050,-0.0000,0.01050,0.000000,0.000001,0.000000
0.07100,-0.0000,0.01058,0.000000,0.000001,0.000000
0.07150,-0.0000,0.01065,0.000000,0.000001,0.000000
0.07200,-0.0000,0.01073,0.000000,0.000001,0.000000
0.07250,-0.0000,0.01080,0.000000,0.000001,0.000000
0.07300,-0.0000,0.01088,0.000000,0.000001,0.000000
0.07350,-0.0000,0.01095,0.000000,0.000001,0.000000
0.07400,-0.0000,0.01103,0.000000,0.000001,0.000000
0.07450,-0.0000,0.01110,0.000000,0.000001,0.000000
0.07500,-0.0000,0.01118,0.000000,0.000001,0.000000
0.07550,-0.0000,0.01125,0.000000,0.000001,0.000000
0.07600,-0.0000,0.01133,0.000000,0.000001,0.000000
0.07650,-0.0000,0.01140,0.000000,0.000001,0.000000
0.07700,-0.0000,0.01148,0.000000,0.000001,0.000000
0.07750,-0.0000,0.01155,0.000000,0.000001,0.000000
0.07800,-0.0000,0.01163,0.000000,0.000001,0.000000
0.07850,-0.0000,0.01170,0.000000,0.000001,0.000000
0.07900,-0.0000,0.01178,0.000000,0.000001,0.000000
0.07950,-0.0000,0.01185,0.000000,0.000001,0.000000
0.08000,-0.0000,0.01193,0.000000,0.000001,0.000000
0.08050,-0.0000,0.01200,0.000000,0.000001,0.000000
0.08100,-0.0000,0.01208,0.000000,0.000001,0.000000
0.08150,-0.0000,0.01215,0.000000,0.000001,0.000000
0.08200,-0.0000,0.01223,0.000000,0.000001,0.000000
0.08250,-0.0000,0.01230,0.000000,0.000001,0.000000
0.08300,-0.0000,0.01238,0.000000,0.000001,0.000000
0.08350,-0.0000,0.01245,0.000000,0.000001,0.000000
0.08400,-0.0000,0.01253,0.000000,0.000001,0.000000
0.08450,-0.0000,0.01260,0.000000,0.000001,0.000000
0.08500,-0.0000,0.01268,0.000000,0.000001,0.000000
0.08550,-0.0000,0.01275,0.000000,0.000001,0.000000
0.08600,-0.0000,0.01283,0.000000,0.000001,0.000000
0.08650,-0.0000,0.01290,0.000000,0.000001,0.000000
0.08700,-0.0000,0.01298,0.000000,0.000001,0.000000
0.08750,-0.0000,0.01305,0.000000,0.000001,0.000000
0.08800,-0.0000,0.01313,0.000000,0.000001,0.000000
0.08850,-0.0000,0.01320,0.000000,0.000001,0.000000
0.08900,-0.0000,0.01328,0.000000,0.000001,0.000000
0.08950,-0.0000,0.01335,0.000000,0.000001,0.000000
0.09000,-0.0000,0.01343,0.000000,0.000001,0.000000
0.09050,-0.0000,0.01350,0.000000,0.000001,0.000000
0.09100,-0.0000,0.01358,0.000000,0.000001,0.000000
0.09150,-0.0000,0.01365,0.000000,0.000001,0.000000
0.09200,-0.0000,0.01373,0.000000,0.000001,0.000000
0.09250,-0.0000,0.01380,0.000000,0.000001,0.000000
0.09300,-0.0000,0.01388,0.000000,0.000001,0.000000
0.09350,-0.0000,0.01395,0.000000,0.000001,0.000000
0.09400,-0.0000,0.01403,0.000000,0.000001,0.000000
0.09450,-0.0000,0.01410,0.000000,0.000001,0.000000
0.09500,-0.0000,0.01418,0.000000,0.000001,0.000000
0.09550,-0.0000,0.01425,0.000000,0.000001,0.000000
0.09600,-0.0000,0.01433,0.000000,0.000001,0.000000
0.09650,-0.0000,0.01440,0.000000,0.000001,0.000000
